model,processor,screen_size,storage,ram,title
MacBook Unknown,M1,Unknown,Unknown,Unknown,MacBook M1 2020
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,MacBook
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Magsafe Macbook Charger
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,MacBook charger extension cord￼電線
MacBook Unknown,Unknown,Unknown,256,Unknown,Apple 原廠 MacBook SSD 硬碟 256GB
MacBook Unknown,M1,Unknown,Unknown,8,Macbook M1 8GB
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,MacBook VGA轉接器
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,MacBook
MacBook Unknown,M2,Unknown,Unknown,8,Macbook M2 8/[hidden information] 吋
MacBook Unknown,M4,Unknown,Unknown,Unknown,Macbook m4
MacBook Unknown,M2,Unknown,256,Unknown,MacBook M2晶片 8核 8GBRAM 256G.SSD
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Paralles desktop 20 在 macos 上用 arm架構版本的 windows 一年內可更新到最新 過期後該版本變終身 Macbook 軟體 應用程式
